Score	mOS_months	mOS025_months	mOS975_months
0.0	1.60875377257047	0.8213552358	3.0390143735999917
0.01	1.60875377257047	0.8213552358	3.0390143735999917
0.02	1.60875377257047	0.8213552358	3.0390143735999917
0.03	1.60875377257047	0.8213552358	3.0390143735999917
0.04	1.60875377257047	0.8213552358	3.0390143735999917
0.05	1.7611117032911963	0.821355236	2.891170431
0.06	1.3002053387041668	0.722792608	2.891170431
0.07	1.979554058589936	0.821355236	3.383983573
0.08	2.112963065781782	0.821355236	5.420944559
0.09	2.376509240257	0.854209446	5.423408624699998
0.1	2.5129527720900002	0.854209446	5.519507187
0.11	3.056361396321	1.412731006	5.519507187
0.12	3.2599589321919997	1.872689938	5.519507187
0.13	4.051548254634	2.168377823	7.195071869
0.14	3.5730266940280004	2.004106776	5.94661191
0.15	3.294620123174	1.905544148	5.519507187
0.16	3.4403285420709997	2.036960986	5.519507187
0.17	3.2919917864549997	2.004106776	5.453798768
0.18	3.365388090308	2.036960986	5.519507187
0.19	3.2014127309689995	2.168377823	4.632443532
0.2	3.1225626283059995	2.036960986	4.632443532
0.21	2.8569363450049994	2.135523614	3.54825462
0.22	3.017363449745	2.234086242	4.566735113
0.23	3.1044928132200003	2.332648871	4.76386037
0.24	3.605946611962	2.595482546	5.683778234
0.25	4.104279260819999	2.924024641	5.979466119
0.26	4.134833675565	3.186036960775	5.782340862
0.27	4.359983572894	3.318275154	5.787268993424996
0.28	5.062833675557	3.712525667	6.439425051
0.29	5.799950718627	4.3687885007750005	7.09650924
0.3	6.631589322411	5.289527721	8.31211499
0.31	7.688016427206001	6.078028747	9.527720739
0.32	7.908468172603	6.603696099	9.593429158
0.33	8.642102669464	6.89609856305	9.921971253
0.34	8.621043121192	6.932238193	9.987679671
0.35	9.064772073994	7.490759754	10.388501031749994
0.36	9.920394250782	8.344969199	11.632032850499998
0.37	10.824049281684998	9.133470226	13.5687885
0.38	12.192854209493001	9.986858315775	14.32443532
0.39	13.931958932769001	11.66324435	16.16427105
0.4	14.186480493182	11.95893224	16.6899384
0.41	14.699433265390002	12.38603696	17.44558522
0.42	15.04137987759	12.71457906	18.00410678
0.43	15.172468173	13.17453799	17.44558522
0.44	15.290053388550001	13.83162218	18.00410678
0.45	15.904065708579997	14.12731006	18.23408624
0.46	15.79163860389	14.12731006	18.23408624
0.47	16.04359753604	14.29158111	19.74537988
0.48	16.16098562634	14.4837782385	18.82546201
0.49	16.17189322395	13.96303901	19.08829569
0.5	15.912706365949997	13.8973306	18.36550308
0.51	15.563137577529998	13.8973306	18.03696099
0.52	16.377724846379998	14.12731006	18.82546201
0.53	17.34790965125	14.68583162	20.56673511
0.54	17.55216427123	14.68583162	20.66529774
0.55	18.397043121280003	14.85010267	23.91786448
0.56	19.876632443480002	15.34045174425	24.64065708
0.57	20.239605749629998	16.06570842	24.60780288
0.58	20.5510636554	15.34291581	24.60780288
0.59	22.21641067892	18.03696099	28.28747433
0.6	26.544295690229998	21.38809035	36.862423
0.61	28.90109240416	21.935112936750002	47.3100616
0.62	30.008032855729997	24.50924025	47.3100616
0.63	29.456993841649997	24.50924025	39.39219713
0.64	34.27922792766	24.96919918	47.3100616
0.65	34.747121151660004	24.54209446	60.0
0.66	43.00063244511	27.33470226	60.0
0.67	41.98895277374	27.33470226	60.0
0.68	43.256098564489996	28.12320329	60.0
0.69	42.17921971283	28.12320329	60.0
0.7	43.33638603697	32.91991786	60.0
0.71	40.20853388096	31.83572895	60.0
0.72	44.61542505194999	32.91991786	60.0
0.73	50.21512936278	32.91991786	60.0
0.74	54.785560574579996	35.58110883	60.0
0.75	55.19729774091999	35.58110883	60.0
0.76	54.750595482179996	35.58110883	60.0
0.77	57.10510882937	35.58110883	60.0
0.78	53.66652977366999	35.58110883	60.0
0.79	53.410390143309996	35.58110883	60.0
0.8	53.029880903409996	31.83572895	60.0
0.81	59.68118275156	60.0	60.0
0.82	59.72337577004	60.0	60.0
0.83	59.921856262839995	60.0	60.0
0.84	59.594168377840006	60.0	60.0
0.85	59.52489527723999	60.0	60.0
0.86	59.8015195072	60.0	60.0
0.87	57.17163039046001	27.4661191	60.0
0.88	58.52401642727	27.4661191	60.0
0.89	59.50857494872	60.0	60.0
0.9	59.544525667399995	60.0	60.0
0.91	58.62503490775	27.4661191	60.0
0.92	57.64901848075	27.4661191	60.0
0.93	55.609469452735475	27.4661191	60.0
0.94	55.253874573083166	27.4661191	60.0
0.95	54.955389346341974	27.4661191	60.0
0.96	44.957478982406876	25.75770021	60.0
0.97	60.0	60.0	60.0
0.98	60.0	60.0	60.0
0.99	60.0	60.0	60.0
1.0	60.0	60.0	60.0
