Score	mOS_months	mOS025_months	mOS975_months
0.0	0.5729086976535949	0.394250513	0.919917864
0.01	0.5729086976535949	0.394250513	0.919917864
0.02	0.5729086976535949	0.394250513	0.919917864
0.03	0.5729086976535949	0.394250513	0.919917864
0.04	0.5729086976535949	0.394250513	0.919917864
0.05	0.5729086976535949	0.394250513	0.919917864
0.06	0.5729086976535949	0.394250513	0.919917864
0.07	0.5729086976535949	0.394250513	0.919917864
0.08	0.5729086976535949	0.394250513	0.919917864
0.09	0.5729086976535949	0.394250513	0.919917864
0.1	0.5729086976535949	0.394250513	0.919917864
0.11	0.5729086976535949	0.394250513	0.919917864
0.12	0.5729086976535949	0.394250513	0.919917864
0.13	0.5729086976535949	0.394250513	0.919917864
0.14	0.5729086976535949	0.394250513	0.919917864
0.15	0.5729086976535949	0.394250513	0.919917864
0.16	0.5729086976535949	0.394250513	0.919917864
0.17	0.5729086976535949	0.394250513	0.919917864
0.18	0.5729086976535949	0.394250513	0.919917864
0.19	0.5729086976535949	0.394250513	0.919917864
0.2	0.5729086976535949	0.394250513	0.919917864
0.21	1.3010372410866773	0.394250513	2.234086242
0.22	1.633495792314548	0.394250513	2.39835729
0.23	1.9134810533310105	0.394250513	2.39835729
0.24	2.6845448601424216	0.919917864	4.336755647
0.25	4.055655030731001	1.80698152	12.84599589
0.26	3.595926077995	2.234086242	5.026694045
0.27	4.353806981319	2.924024641	7.556468172
0.28	4.4201067760559996	3.154004107	7.556468172
0.29	5.487277207293	3.909650924	9.396303901
0.3	5.279014373635	3.909650924	9.002053388
0.31	6.840542094361	4.106776181	10.11909651
0.32	7.2198767966610005	4.336755647	10.21765914
0.33	8.0477371663	5.880903491	10.71047228
0.34	7.653913757648	5.289527721	10.21765914
0.35	8.051646817243	5.880903491	10.71047228
0.36	9.833232033334	6.800821355	12.81314168
0.37	10.689084189397999	7.523613963	17.18275154
0.38	13.060468172636002	9.659137577	17.51129363
0.39	13.062217659836001	8.936344969	17.67556468
0.4	14.681232033752003	10.97330596	19.74537988
0.41	15.402661192130003	10.34907598	21.02669405
0.42	17.426800821992	11.07186858	27.17043121
0.43	21.621232033721	12.45174538	60.0
0.44	21.742628337720998	12.45174538	60.0
0.45	20.809757702638	12.45174538	60.0
0.46	19.947991788914	10.4476386	60.0
0.47	19.561117044554	10.4476386	28.28747433
0.48	17.230299796016	10.05338809	28.28747433
0.49	17.935638604088002	10.05338809	28.28747433
0.5	19.314644763849998	7.852156057	28.28747433
0.51	18.068295688152	9.998357289175004	28.28747433
0.52	19.95507186869	10.05338809	28.28747433
0.53	18.814028747411	7.12936345	26.31622177
0.54	18.707326488680998	10.05338809	26.31622177
0.55	17.319203285841	10.05338809	28.28747433
0.56	17.195039014667	9.330595483	28.28747433
0.57	18.273010267178	9.330595483	35.58110883
0.58	20.011392197342	10.11909651	35.58110883
0.59	24.760813142570004	11.26899384	60.0
0.6	27.398184805614004	14.55441478	60.0
0.61	24.876008214673007	14.55441478	60.0
0.62	22.469995894604004	12.91088295525	35.58110883
0.63	24.008041069246	15.643531831750002	60.0
0.64	24.94879671591	15.67145791	60.0
0.65	32.4267679681	18.36550308	60.0
0.66	36.90037782367	18.36550308	60.0
0.67	46.483162217680004	19.67967146	60.0
0.68	49.30941273099	19.67967146	60.0
0.69	54.478069815376	18.36550308	60.0
0.7	43.60649692036999	18.36550308	60.0
0.71	50.713913757888996	18.36550308	60.0
0.72	55.643071868679996	21.38809035	60.0
0.73	57.40393429164	21.38809035	60.0
0.74	58.95747843945	21.38809035	60.0
0.75	58.95747843944999	21.38809035	60.0
0.76	58.80303080085	21.38809035	60.0
0.77	56.2932566736	21.38809035	60.0
0.78	49.573577002289994	21.38809035	60.0
0.79	54.45413208359719	21.38809035	60.0
0.8	59.773076930992985	60.0	60.0
0.81	59.86134281932584	60.0	60.0
0.82	59.72268563865169	60.0	60.0
0.83	58.399117961873046	14.75154004	60.0
0.84	60.0	60.0	60.0
0.85	60.0	60.0	60.0
0.86	60.0	60.0	60.0
0.87	60.0	60.0	60.0
0.88	60.0	60.0	60.0
0.89	60.0	60.0	60.0
0.9	60.0	60.0	60.0
0.91	60.0	60.0	60.0
0.92	60.0	60.0	60.0
0.93	60.0	60.0	60.0
0.94	60.0	60.0	60.0
0.95	60.0	60.0	60.0
0.96	60.0	60.0	60.0
0.97	60.0	60.0	60.0
0.98	60.0	60.0	60.0
0.99	60.0	60.0	60.0
1.0	60.0	60.0	60.0
