Score	mPFS_months	mPFS025_months	mPFS975_months
0.0	0.5892561432096776	0.394250513	0.919917864
0.01	0.5892561432096776	0.394250513	0.919917864
0.02	0.5892561432096776	0.394250513	0.919917864
0.03	0.5892561432096776	0.394250513	0.919917864
0.04	0.5892561432096776	0.394250513	0.919917864
0.05	0.5892561432096776	0.394250513	0.919917864
0.06	0.5892561432096776	0.394250513	0.919917864
0.07	0.5892561432096776	0.394250513	0.919917864
0.08	0.5892561432096776	0.394250513	0.919917864
0.09	0.5892561432096776	0.394250513	0.919917864
0.1	0.5892561432096776	0.394250513	0.919917864
0.11	0.5892561432096776	0.394250513	0.919917864
0.12	0.5892561432096776	0.394250513	0.919917864
0.13	0.5892561432096776	0.394250513	0.919917864
0.14	0.5892561432096776	0.394250513	0.919917864
0.15	0.5892561432096776	0.394250513	0.919917864
0.16	0.5892561432096776	0.394250513	0.919917864
0.17	0.5892561432096776	0.394250513	0.919917864
0.18	0.5892561432096776	0.394250513	0.919917864
0.19	0.5892561432096776	0.394250513	0.919917864
0.2	0.5892561432096776	0.394250513	0.919917864
0.21	1.1868657693974591	0.394250513	1.80698152
0.22	1.4562480243037448	0.394250513	2.39835729
0.23	1.2753864631615566	0.394250513	1.80698152
0.24	1.0977999413163264	0.459958932	1.80698152
0.25	1.4765995894030002	0.887063655	2.792607803
0.26	1.4156878850010002	0.919917864	1.938398357
0.27	1.7234004106800003	1.215605749	2.7605749482499995
0.28	1.7653552361600005	1.314168378	2.726899384
0.29	1.940073922	1.478439425	2.662833675474998
0.3	1.8383244353290005	1.544147844	2.595482546
0.31	1.9108665297850003	1.609856263	2.562628337
0.32	1.9618891170360002	1.642710472	2.595482546
0.33	1.9476303901540002	1.642710472	2.595482546
0.34	2.012057494866	1.642710472	2.595482546
0.35	2.0879178644310006	1.741273101	2.595482546
0.36	2.254357289531	1.741273101	2.726899384
0.37	2.266086242289	1.7733059547749999	2.628336756
0.38	2.2877043121080005	1.77412731	2.726899384
0.39	2.253437371635	1.741273101	2.759753593
0.4	2.67702669395	2.004106776	3.909650924
0.41	2.9868418889449995	2.135523614	4.205338809
0.42	3.108566734903	1.872689938	4.599589322
0.43	3.2612731003949995	2.299794661	4.895277207
0.44	3.2995154002250002	2.299794661	4.895277207
0.45	3.469108829424	2.39835729	5.388090349
0.46	3.7546119094710004	2.431211499	5.979466119
0.47	3.89575359329	2.595482546	5.979466119
0.48	3.7178151948839995	2.595482546	5.979466119
0.49	3.6534866527960004	2.529774127	5.979466119
0.5	3.328262833644	2.102669405	6.209445585
0.51	3.0900369609519998	2.069815195	5.388090349
0.52	3.405470225865	2.102669405	6.209445585
0.53	3.241462012277	1.839835729	5.388090349
0.54	3.3296427104399995	1.938398357	5.388090349
0.55	2.941864476296	1.839835729	5.223819302
0.56	2.9286570841020003	1.8316221766250005	5.223819302
0.57	3.0521232032339993	1.511293634	5.223819302
0.58	3.3322710472979997	1.938398357	5.2952772076499945
0.59	3.911983572953	2.036960986	6.373716632
0.6	4.5636139630970005	2.562628337	7.359342916
0.61	5.003071868654	2.726899384	8.016427105
0.62	4.93079260789	2.726899384	8.739219713
0.63	6.5364435320870005	3.449691992	10.25051335
0.64	6.710505133683	4.073921971	12.09034908
0.65	8.36235728999	4.829568789	14.85010267
0.66	9.344804928624002	4.698151951	18.39835729
0.67	9.968287475184999	4.829568789	18.39835729
0.68	10.505314169499998	4.829568789	18.39835729
0.69	10.501462013493	4.698151951	18.39835729
0.7	10.352221767201002	2.726899384	16.75564682
0.71	11.667285422613	2.726899384	18.39835729
0.72	13.166570843146001	3.383983573	18.39835729
0.73	17.970620124758998	4.829568789	60.0
0.74	23.500041069305997	6.078028747	60.0
0.75	21.525281315860997	6.078028747	60.0
0.76	25.620895278967996	3.383983573	60.0
0.77	31.320960986938996	3.383983573	60.0
0.78	43.434480493548996	3.383983573	60.0
0.79	51.112459959443996	16.75564682	60.0
0.8	57.5480232524336	6.078028747	60.0
0.81	57.52310478955183	6.078028747	60.0
0.82	59.23281748217276	60.0	60.0
0.83	56.97633806057944	6.078028747	60.0
0.84	60.0	60.0	60.0
0.85	60.0	60.0	60.0
0.86	60.0	60.0	60.0
0.87	60.0	60.0	60.0
0.88	60.0	60.0	60.0
0.89	60.0	60.0	60.0
0.9	60.0	60.0	60.0
0.91	60.0	60.0	60.0
0.92	60.0	60.0	60.0
0.93	60.0	60.0	60.0
0.94	60.0	60.0	60.0
0.95	60.0	60.0	60.0
0.96	60.0	60.0	60.0
0.97	60.0	60.0	60.0
0.98	60.0	60.0	60.0
0.99	60.0	60.0	60.0
1.0	60.0	60.0	60.0
